nid	macroregion	departamento_code	departamento_name	id	municipio_name	fecha_creacion	km2	municipio_capital_name	lat	lon	asnm	pob1963t	pob1971t	pob1995t	pob2005t	pob2006t	pob2007t	pob2008t	pob2009t	pob2010t	pob2011t	pob2012t	pob2013t	pob2014t	pob2015t	pob2016t	pob2017t	pob1963ur	pob1971ur	pob1995ur	pob2005ur	pob2006ur	pob2007ur	pob2008ur	pob2009ur	pob2010ur	pob2011ur	pob2012ur	pob2013ur	pob2014ur	pob2015ur	pob2016ur	pob2017ur	pob1963ru	pob1971ru	pob1995ru	pob2005ru	pob2006ru	pob2007ru	pob2008ru	pob2009ru	pob2010ru	pob2011ru	pob2012ru	pob2013ru	pob2014ru	pob2015ru	pob2016ru	pob2017ru
15	central	10	Jinotega 	1012	San José de Bocay	>1971	3990.4	San José de Bocay	13.53333333	-85.53333333	300	0	0	57599	42029	43524	45072	46675	48335	50054	51834	53677	55586	57563	59610	61730	63922	0	0	3039	3861	4193	4553	4944	5369	5831	6332	6876	7467	8109	8806	9563	10387	0	0	54560	38168	39259	40382	41537	42725	43947	45204	46497	47827	49195	50602	52049	53535
16	central	10	Jinotega 	1015	Santa María de Pantasma	>1971	559.95	Pantasma	13.35	-85.93333333	420	0	0	29735	37880	38986	40124	41295	42500	43740	45017	46331	47683	49075	50507	51981	53499	0	0	2198	4836	5060	5294	5539	5796	6064	6345	6639	6946	7268	7605	7957	8326	0	0	27537	33044	33916	34811	35730	36673	37641	38635	39655	40702	41776	42879	44011	45173
17	central	10	Jinotega 	1020	San Rafael del Norte	<1963	232.84	San Rafael del Norte	13.2	-86.1	1078	6370	7150	14066	17789	18117	18451	18791	19137	19490	19849	20215	20588	20967	21353	21746	22147	1298	1599	3049	4952	5036	5121	5208	5296	5386	5477	5570	5665	5761	5859	5958	6060	5072	5551	11017	12837	13081	13329	13582	13840	14103	14371	14644	14922	15205	15494	15788	16087
18	central	10	Jinotega 	1025	San Sebastián de Yalí	<1963	400.86	San Sebastián de Yalí	13.3	-86.18333333	851	8877	9557	20277	26979	27606	28248	28905	29577	30265	30969	31689	32426	33180	33952	34742	35549	998	1491	2832	4476	4631	4791	4957	5129	5307	5491	5681	5878	6082	6293	6511	6735	7879	8066	17445	22503	22971	23449	23937	24435	24944	25463	25993	26534	27086	27650	28226	28814
19	central	10	Jinotega 	1030	La Concordia	<1963	151.02	La Concordia	13.18333333	-86.16666667	899	3535	4014	7049	6486	6552	6618	6685	6753	6821	6890	6960	7031	7102	7174	7247	7320	794	922	1408	1490	1495	1500	1505	1510	1515	1520	1525	1530	1535	1540	1545	1546	2741	3092	5641	4996	5057	5118	5180	5243	5307	5371	5436	5502	5569	5637	5705	5774
20	central	10	Jinotega 	1035	Jinotega	<1963	880.34	Jinotega	13.08333333	-86	1003	58153	69919	77222	99382	102035	104759	107556	110428	113376	116403	119511	122702	125978	129342	132795	136342	7693	10235	30824	41134	42030	42945	43880	44835	45811	46808	47827	48868	49932	51019	52130	53265	50460	59684	46398	58248	59997	61799	63655	65567	67536	69564	71653	73805	76021	78304	80655	83077
21	central	20	Madriz 	2005	Somoto	<1963	466.18	Somoto	13.48333333	-86.58333333	700	12255	14412	28821	33788	34198	34613	35033	35458	35888	36324	36765	37211	37663	38120	38583	39053	3967	5579	14218	18126	18332	18540	18750	18963	19178	19396	19616	19839	20064	20292	20522	20754	8288	8833	14603	15662	15866	16073	16283	16496	16711	16929	17150	17374	17601	17831	18064	18299
22	central	20	Madriz 	2010	Totogalpa	<1963	133.13	Totogalpa	13.55	-86.48333333	660	4985	4380	8796	11927	12196	12472	12754	13042	13337	13638	13946	14261	14583	14912	15249	15594	522	781	1489	1794	1891	1994	2102	2216	2336	2463	2597	2738	2886	3043	3208	3381	4463	3599	7307	10133	10292	10453	10617	10783	10952	11124	11298	11475	11655	11838	12024	12213
23	central	20	Madriz 	2015	Telpaneca	<1963	353.28	Telpaneca	13.51666667	-86.28333333	500	13095	8075	15113	19025	19356	19693	20035	20383	20737	21098	21465	21838	22218	22604	22997	23397	1982	1001	1877	3871	4016	4167	4323	4485	4653	4828	5009	5197	5392	5594	5804	6023	11113	7074	13236	15154	15328	15504	15682	15862	16044	16228	16414	16602	16792	16984	17179	17374
24	central	20	Madriz 	2020	San Juan de Río Coco	1964	181.65	San Juan de Río Coco	13.53333333	-86.16666667	840	0	4847	15261	21114	21945	22808	23705	24638	25607	26614	27661	28749	29880	31056	32278	33549	0	1140	1854	6586	6888	7204	7535	7881	8243	8621	9017	9431	9864	10317	10791	11287	0	3707	13407	14528	15054	15599	16164	16749	17355	17983	18634	19309	20008	20732	21483	22262
