nid	macroregion	departamento_code	departamento_name	id	municipio_name	fecha_creacion	km2	municipio_capital_name	lat	lon	asnm	pob1963t	pob1971t	pob1995t	pob2005t	pob2006t	pob2007t	pob2008t	pob2009t	pob2010t	pob2011t	pob2012t	pob2013t	pob2014t	pob2015t	pob2016t	pob2017t	pob1963ur	pob1971ur	pob1995ur	pob2005ur	pob2006ur	pob2007ur	pob2008ur	pob2009ur	pob2010ur	pob2011ur	pob2012ur	pob2013ur	pob2014ur	pob2015ur	pob2016ur	pob2017ur	pob1963ru	pob1971ru	pob1995ru	pob2005ru	pob2006ru	pob2007ru	pob2008ru	pob2009ru	pob2010ru	pob2011ru	pob2012ru	pob2013ru	pob2014ru	pob2015ru	pob2016ru	pob2017ru
56	Pacifico	35	León	3540	León	<1963	820.19	León	12.43333333	-86.88333333	109	62019	75584	161530	174051	176622	179231	181878	184564	187290	190056	192863	195712	198603	201536	204513	207534	45048	54841	123865	139433	141778	144162	146586	149051	151558	154107	156699	159334	162014	164739	167510	170327	16971	20743	37665	34618	34827	35037	35248	35460	35674	35889	36105	36323	36542	36762	36984	37207
57	Pacifico	35	León	3545	La Paz Centro	<1963	691.57	La Paz Centro 	12.33333333	-86.66666667	67	11750	13308	27509	28118	28434	28753	29076	29402	29732	30066	30403	30744	31089	31438	31791	32148	4431	6622	17299	19010	19309	19613	19922	20236	20555	20879	21208	21542	21881	22226	22576	22931	7319	6686	10210	9108	9117	9126	9135	9144	9153	9162	9171	9180	9189	9198	9207	9217
58	Pacifico	35	León	3550	Nagarote	<1963	598.39	Nagarote	12.25	-86.55	75	12126	12699	29200	32303	32747	33197	33653	34116	34585	35060	35542	36031	36526	37028	37537	38054	5241	7250	19646	19614	19983	20359	20742	21133	21531	21936	22349	22770	23199	23636	24081	24535	6885	5449	9554	12689	12756	12824	12892	12960	13029	13098	13167	13237	13307	13377	13448	13519
59	central	40	Matagalpa 	4005	Rancho Grande	>1971	598.23	Rancho Grande	13.23333333	-85.55	600	0	0	17077	26223	27035	27872	28735	29624	30541	31486	32460	33465	34501	35569	36670	37802	0	0	656	1648	1833	2039	2268	2523	2807	3123	3474	3865	4300	4784	5322	5926	0	0	16421	24575	25114	25664	26226	26801	27388	27988	28601	29228	29868	30523	31192	31876
60	central	40	Matagalpa 	4010	Río Blanco	>1971	662.51	Río Blanco	12.93333333	-85.21666667	269	0	0	26203	30785	31176	31572	31973	32379	32790	33207	33629	34056	34489	34927	35371	35821	0	0	9242	12933	13235	13544	13860	14184	14515	14854	15201	15556	15919	16291	16671	17059	0	0	16961	17852	17926	18000	18075	18150	18225	18301	18377	18453	18530	18607	18684	18762
61	central	40	Matagalpa 	4015	El Tuma - La Dalia	>1971	651.66	La Dalia	13.13333333	-85.73333333	720	0	0	43887	56681	57918	59182	60474	61794	63143	64522	65931	67370	68841	70344	71880	73450	0	0	2876	7876	8135	8403	8679	8964	9259	9564	9879	10204	10540	10887	11245	11614	0	0	41011	48805	49777	50768	51779	52810	53862	54935	56029	57145	58283	59444	60628	61836
62	central	40	Matagalpa 	4020	San Isidro	<1963	282.7	San Isidro	12.91666667	-86.18333333	477	5952	6670	15353	17412	17592	17774	17958	18144	18332	18522	18714	18908	19104	19302	19502	19700	1945	2471	4779	8015	8107	8200	8294	8389	8485	8582	8680	8779	8879	8981	9084	9187	4007	4199	10574	9397	9485	9574	9664	9755	9847	9940	10033	10127	10222	10318	10415	10513
63	central	40	Matagalpa 	4025	Sébaco	<1963	289.81	Sébaco	12.85	-86.1	469	6839	9453	24936	32221	32581	32945	33313	33685	34061	34442	34827	35216	35609	36007	36409	36817	2268	3200	16102	22431	22658	22887	23118	23352	23588	23826	24067	24310	24556	24804	25055	25308	4571	6253	8834	9790	9923	10058	10195	10333	10473	10615	10759	10905	11053	11203	11355	11509
64	central	40	Matagalpa 	4030	Matagalpa	<1963	619.36	Matagalpa	12.91666667	-85.91666667	681	61520	60325	104381	133416	135450	137515	139612	141741	143902	146096	148324	150586	152882	155213	157580	159982	15030	20682	59397	80228	82067	83948	85872	87840	89853	91912	94019	96174	98378	100633	102939	105299	46490	39643	44984	53188	53311	53434	53558	53682	53806	53930	54055	54180	54305	54431	54557	54683
65	central	40	Matagalpa 	4035	San Ramón	<1963	424	San Ramón	12.91666667	-85.83333333	640	21099	14523	23061	30682	31274	31878	32493	33120	33759	34411	35075	35752	36442	37145	37862	38595	436	595	1557	2744	2851	2963	3079	3200	3325	3455	3590	3731	3877	4029	4187	4351	20663	13928	21504	27938	28416	28902	29396	29899	30410	30930	31459	31997	32544	33101	33667	34244
66	central	40	Matagalpa 	4040	Matiguás	<1963	1532.25	Matiguás	12.83333333	-85.45	297	28087	29746	38584	41127	41957	42804	43668	44549	45448	46365	47301	48256	49230	50224	51238	52271	1444	2221	7334	8907	9283	9675	10084	10510	10954	11417	11899	12402	12926	13472	14041	14632	26643	27525	31250	32220	32640	33066	33497	33934	34376	34824	35278	35738	36204	36676	37154	37639
67	central	40	Matagalpa 	4045	Muy Muy	<1963	375.06	Muy Muy	12.75	-85.61666667	337	5461	5613	13069	14721	14884	15049	15216	15385	15556	15729	15904	16080	16258	16438	16620	16805	691	1632	2811	4037	4128	4221	4316	4413	4512	4613	4717	4823	4931	5042	5155	5269	4770	3981	10258	10684	10753	10822	10891	10961	11031	11102	11173	11245	11317	11390	11463	11536
68	central	40	Matagalpa 	4050	Esquipulas	<1963	218.58	Esquipulas	12.66666667	-85.78333333	520	7831	7138	14746	15877	16033	16191	16351	16512	16675	16839	17005	17173	17342	17513	17686	17860	1636	2264	4635	5474	5538	5603	5669	5735	5802	5870	5939	6008	6078	6149	6221	6294	6195	4874	10111	10403	10495	10588	10682	10777	10873	10969	11066	11164	11263	11363	11464	11566
69	central	40	Matagalpa 	4055	San Dionisio	<1963	165.5	San Dionisio	12.75	-85.85	380	3521	3207	16003	16273	16440	16609	16780	16952	17126	17302	17480	17659	17840	18023	18208	18395	569	744	2215	2160	2225	2292	2361	2432	2505	2580	2657	2737	2819	2904	2991	3080	2952	2463	13788	14113	14209	14306	14404	14502	14601	14701	14801	14902	15004	15107	15210	15315
70	central	40	Matagalpa 	4060	Terrabona	<1963	248.89	Terrabona	12.71666667	-85.96666667	540	8274	8623	10605	12740	12878	13017	13158	13300	13444	13590	13737	13886	14036	14188	14342	14497	690	933	1092	1753	1795	1838	1882	1927	1973	2020	2068	2117	2167	2218	2271	2322	7584	7690	9513	10987	11081	11176	11272	11369	11467	11566	11665	11765	11866	11968	12071	12175
71	central	40	Matagalpa 	4065	Ciudad Darío	<1963	735.31	Ciudad Darío	12.71666667	-86.11666667	432	22881	22841	35871	41014	41837	42677	43534	44408	45300	46210	47138	48084	49049	50034	51039	52063	3851	5708	9745	16646	17054	17472	17901	18340	18790	19251	19723	20207	20703	21211	21731	22266	19030	17133	26126	24368	24780	25199	25625	26058	26498	26946	27401	27864	28335	28814	29301	29797
72	central	50	Boaco 	5005	San José de los Remates	<1963	280.46	San José de los Remates	12.58333333	-85.75	550	4756	4746	7646	7650	7710	7771	7832	7894	7956	8019	8082	8146	8210	8275	8340	8408	587	842	1572	1763	1800	1838	1877	1916	1956	1997	2039	2082	2126	2171	2216	2261	4169	3904	6074	5887	5908	5929	5950	5971	5993	6015	6037	6059	6081	6103	6125	6147
73	central	50	Boaco 	5010	Boaco	<1963	1086.81	Boaco	12.46666667	-85.65	360	20351	19498	45188	49839	50684	51543	52416	53304	54207	55126	56060	57010	57976	58958	59957	60974	4656	6443	17344	20405	20767	21136	21511	21893	22282	22678	23081	23491	23908	24332	24764	25203	15695	13055	27844	29434	29916	30406	30904	31410	31925	32448	32980	33520	34069	34627	35194	35771
74	central	50	Boaco 	5015	Camoapa	<1963	1483.29	Camoapa	12.38333333	-85.5	520	16642	15559	32297	34962	35312	35666	36023	36384	36748	37116	37488	37863	38242	38625	39012	39402	2617	4485	11110	13995	14211	14430	14652	14878	15107	15340	15576	15816	16060	16307	16558	16814	14025	11074	21187	20967	21098	21229	21361	21494	21628	21763	21898	22034	22171	22309	22448	22588
75	central	50	Boaco 	5020	Santa Lucía	<1963	120.78	Santa Lucía	12.53333333	-85.7	560	4914	5032	8173	8254	8315	8377	8439	8501	8564	8627	8691	8755	8820	8885	8951	9018	609	727	1072	2046	2074	2102	2131	2160	2190	2220	2250	2281	2312	2344	2376	2409	4305	4305	7101	6208	6240	6273	6306	6339	6372	6405	6438	6472	6506	6540	6574	6609
76	central	50	Boaco 	5025	Teustepe	<1963	645.73	Teustepe	12.41666667	-85.8	145	13893	12373	21299	26265	26722	27187	27660	28142	28632	29131	29638	30154	30679	31213	31756	32310	764	991	2763	3953	4110	4273	4442	4618	4801	4991	5189	5395	5609	5831	6062	6300	13129	11382	18536	22312	22599	22890	23184	23482	23784	24090	24400	24714	25032	25354	25680	26010
77	central	50	Boaco 	5030	San Lorenzo	<1963	559.61	San Lorenzo	12.36666667	-85.66666667	340	11059	11979	22346	23666	24208	24762	25329	25909	26502	27109	27730	28365	29014	29678	30358	31053	592	2102	5312	5147	5351	5563	5783	6012	6250	6497	6754	7021	7299	7588	7888	8201	10467	9877	17034	18519	18846	19179	19518	19863	20214	20571	20935	21305	21682	22065	22455	22852
78	Pacifico	55	Managua 	5505	San Francisco Libre	<1963	668.3	San Francisco Libre 	12.5	-85.3	40	5416	6176	8777	9416	9546	9678	9812	9948	10085	10224	10365	10508	10653	10800	10949	11101	697	685	1479	2050	2124	2201	2281	2364	2450	2539	2631	2726	2825	2927	3033	3142	4719	5491	7298	7366	7414	7462	7510	7559	7608	7657	7707	7757	7807	7858	7909	7959
79	Pacifico	55	Managua 	5510	Tipitapa	<1963	975.3	Tipitapa	12.18333333	-86.08333333	50	15179	20315	82808	101685	104624	107648	110760	113962	117256	120645	124132	127720	131412	135211	139119	143142	3600	5674	67925	85948	89009	92179	95462	98862	102383	106029	109805	113716	117766	121960	126304	130804	11579	14641	14883	15737	15421	15111	14808	14511	14220	13935	13655	13381	13112	12849	12591	12338
80	Pacifico	55	Managua 	5515	Mateare	<1963	297.4	Mateare	12.23333333	-86.41666667	50	2845	3359	17804	28775	30241	31782	33401	35103	36892	38772	40748	42824	45006	47299	49709	52242	1254	1331	11417	25313	26743	28254	29850	31536	33318	35200	37189	39290	41510	43855	46333	48951	1591	2028	6387	3462	3447	3432	3418	3404	3390	3376	3362	3348	3334	3320	3306	3291
81	Pacifico	55	Managua 	5520	Villa El Carmen	<1963	562.01	Villa El Carmen 	11.96666667	-86.5	100	5334	6816	24230	27449	28083	28731	29394	30072	30766	31476	32202	32945	33705	34483	35279	36095	765	791	2334	6728	6983	7247	7521	7806	8101	8408	8726	9056	9399	9755	10124	10508	4569	6025	21896	20721	21088	21462	21843	22230	22624	23025	23433	23849	24272	24702	25140	25587
82	Pacifico	55	Managua 	5522	Ciudad Sandino	>1971	51.11	Ciudad Sandino	12.16666667	-86.35	90	0	0	0	75083	77802	80619	83538	86563	89698	92946	96312	99800	103414	107159	111040	115061	0	0	0	72501	75226	78053	80986	84030	87188	90465	93865	97393	101053	104851	108791	112878	0	0	0	2582	2546	2511	2476	2442	2408	2375	2342	2309	2277	2245	2214	2183
83	Pacifico	55	Managua 	5525	Managua	<1963	267.17	Managua	12.15	-86.26666667	82	274278	430690	903100	937489	946078	954746	963493	972320	981228	990218	999290	1008445	1017684	1027008	1036417	1045912	234580	384904	864201	908892	918877	928972	939178	949496	959927	970473	981135	991914	1002811	1013828	1024966	1036224	39698	45786	38899	28597	26130	23876	21817	19935	18216	16645	15209	13897	12698	11603	10602	9688
84	Pacifico	55	Managua 	5530	Ticuantepe	>1971	60.79	Ticuantepe	12.01666667	-86.2	290	0	0	19979	27008	27700	28409	29136	29882	30647	31432	32237	33062	33909	34777	35667	36581	0	0	7749	10328	10706	11098	11504	11925	12362	12815	13284	13771	14275	14798	15340	15903	0	0	12230	16680	16981	17288	17600	17918	18242	18572	18908	19250	19598	19952	20312	20678
85	Pacifico	55	Managua 	5532	El Crucero	>1971	225.72	El Crucero	11.98333333	-86.3	860	0	0	0	13656	13807	13960	14115	14271	14429	14589	14751	14914	15079	15246	15415	15587	0	0	0	7276	7439	7605	7775	7949	8127	8309	8495	8685	8879	9078	9281	9488	0	0	0	6380	6356	6332	6308	6284	6260	6237	6214	6191	6168	6145	6122	6099
86	Pacifico	55	Managua 	5535	San Rafael del Sur	<1963	357.3	San Rafael del Sur	11.83333333	-86.43333333	123	15774	18494	37062	42417	43239	44077	44931	45802	46690	47595	48517	49457	50415	51392	52388	53402	2411	2896	19083	23420	24137	24875	25636	26420	27228	28061	28919	29804	30716	31656	32624	33623	13363	15598	17979	18997	19061	19125	19189	19254	19319	19384	19449	19514	19580	19646	19712	19779
87	Pacifico	60	Masaya 	6005	Nindirí	<1963	142.91	Nindirí	12	-86.11666667	220	7551	8242	29026	38355	39568	40819	42110	43442	44816	46233	47695	49203	50759	52364	54020	55731	1554	2148	7563	17313	17936	18581	19250	19943	20661	21405	22175	22973	23800	24656	25543	26462	5997	6094	21463	21042	21629	22232	22852	23489	24144	24817	25509	26220	26951	27702	28474	29269
88	Pacifico	60	Masaya 	6010	Masaya	<1963	146.62	Masaya	11.96666667	-86.08333333	234	34158	45174	117523	139582	142494	145467	148502	151601	154764	157993	161290	164655	168091	171598	175179	178835	23402	30796	88971	92598	95124	97719	100385	103124	105937	108827	111796	114846	117979	121198	124505	127903	10756	14378	28552	46984	47301	47620	47941	48264	48590	48918	49248	49580	49914	50251	50590	50932
89	Pacifico	60	Masaya 	6015	Tisma	<1963	126.17	Tisma	12.06666667	-86.01666667	50	3828	2823	9993	10681	10803	10927	11052	11178	11306	11435	11566	11698	11832	11967	12104	12243	1377	1588	3572	3807	3866	3926	3987	4049	4112	4176	4241	4307	4374	4442	4511	4579	2451	1235	6421	6874	6937	7000	7064	7128	7193	7259	7325	7392	7459	7527	7596	7664
90	Pacifico	60	Masaya 	6020	La Concepción	<1963	65.67	La Concepción	11.93333333	-86.18333333	460	9738	10689	27728	31950	32692	33451	34228	35023	35836	36668	37520	38391	39283	40195	41129	42085	1704	2684	8986	12234	12582	12940	13309	13688	14078	14479	14891	15315	15751	16200	16661	17137	8034	8005	18742	19716	20107	20505	20911	21325	21747	22178	22617	23065	23522	23988	24463	24948
91	Pacifico	60	Masaya 	6025	Masatepe	<1963	59.4	Masatepe	11.91666667	-86.13333333	455	10328	12590	25538	31583	32143	32713	33293	33883	34484	35095	35717	36350	36994	37650	38317	38997	5417	7181	13924	15482	15878	16284	16700	17127	17565	18014	18475	18947	19432	19929	20439	20962	4911	5409	11614	16101	16254	16408	16564	16721	16880	17040	17202	17365	17530	17696	17864	18035
92	Pacifico	60	Masaya 	6030	Nandasmo	<1963	17.63	Nandasmo	11.91666667	-86.11666667	400	2219	3249	7879	10732	11031	11338	11653	11977	12310	12652	13004	13366	13738	14120	14513	14917	1009	2659	4624	3309	3473	3645	3826	4016	4215	4424	4643	4873	5115	5369	5635	5913	1210	590	3255	7423	7543	7665	7789	7915	8043	8173	8306	8441	8578	8717	8858	9004
93	Pacifico	60	Masaya 	6035	Catarina	<1963	11.49	Catarina	11.9	-86.06666667	520	2600	2972	7108	7524	7604	7685	7767	7850	7934	8019	8105	8191	8278	8366	8455	8546	1883	1964	3307	5712	5807	5903	6001	6101	6202	6305	6410	6517	6625	6735	6847	6961	717	1008	3801	1812	1792	1772	1752	1733	1714	1695	1676	1657	1639	1621	1603	1585
94	Pacifico	60	Masaya 	6040	San Juan de Oriente	<1963	9.2	San Juan de Oriente	11.9	-86.06666667	495	890	1119	3101	4734	4905	5082	5265	5455	5652	5856	6067	6286	6513	6748	6991	7242	620	625	1366	2595	2689	2786	2887	2992	3100	3212	3328	3448	3573	3702	3836	3976	270	494	1735	2139	2216	2296	2378	2463	2551	2643	2738	2836	2938	3043	3152	3266
95	Pacifico	60	Masaya 	6045	Niquinohomo	<1963	31.69	Niquinohomo	11.9	-86.08333333	440	5268	5294	13458	14847	14977	15108	15240	15374	15509	15645	15782	15920	16060	16201	16343	16487	1877	2393	5233	7530	7603	7677	7752	7828	7904	7981	8059	8138	8217	8297	8378	8460	3391	2901	8225	7317	7374	7431	7489	7547	7605	7664	7723	7783	7843	7904	7965	8027
96	central	65	Chontales 	6505	Comalapa	<1963	643.86	Comalapa	12.28333333	-85.5	270	7361	5058	10940	11785	12206	12643	13095	13563	14048	14550	15070	15609	16167	16745	17344	17966	441	512	772	1077	1202	1341	1496	1669	1862	2078	2319	2588	2888	3222	3595	4012	6920	4546	10168	10708	10947	11191	11441	11696	11957	12224	12497	12776	13061	13352	13650	13954
97	central	65	Chontales 	6507	San Francisco de Cuapa	>1971	277	Cuapa	12.26666667	-85.38333333	320	0	0	0	5507	5757	6018	6291	6576	6874	7186	7512	7853	8209	8582	8971	9380	0	0	0	2161	2286	2418	2558	2706	2862	3027	3202	3387	3583	3790	4009	4242	0	0	0	3346	3468	3594	3725	3861	4001	4147	4298	4454	4616	4784	4958	5138
98	central	65	Chontales 	6510	Juigalpa	<1963	726.75	Juigalpa	12.1	-85.36666667	116	18366	17909	50791	51838	52512	53195	53887	54588	55298	56017	56746	57484	58232	58990	59757	60535	6146	8772	36999	42763	43471	44191	44923	45667	46424	47193	47975	48770	49578	50399	51234	52083	12220	9137	13792	9075	9021	8968	8915	8862	8810	8758	8706	8655	8604	8553	8502	8452
99	central	65	Chontales 	6515	La Libertad	<1963	774.55	La Libertad	12.2	-85.16666667	498	7297	9551	9814	11429	11634	11842	12054	12270	12490	12714	12942	13174	13410	13650	13895	14144	1355	1361	2383	4887	4995	5105	5217	5332	5449	5569	5692	5817	5945	6076	6210	6346	5942	8190	7431	6542	6638	6736	6835	6936	7038	7142	7247	7354	7462	7572	7684	7798
100	central	65	Chontales 	6520	Santo Domingo	<1963	681.71	Santo Domingo	12.25	-85.06666667	503	11835	7406	12543	12182	12340	12500	12662	12826	12992	13160	13331	13504	13679	13856	14036	14217	1779	1649	4700	4970	5055	5142	5230	5320	5411	5504	5599	5695	5793	5893	5994	6098	10056	5757	7843	7212	7284	7356	7429	7503	7577	7652	7728	7805	7882	7960	8039	8119
101	central	65	Chontales 	6525	Santo Tomás	<1963	546.6	Santo Tomás	12.06666667	-85.08333333	410	5324	6917	15997	16404	16611	16820	17032	17247	17464	17684	17907	18133	18362	18593	18827	19065	1530	2320	10167	11678	11857	12039	12224	12411	12601	12794	12990	13189	13391	13596	13805	14018	3794	4597	5830	4726	4752	4778	4804	4830	4857	4884	4911	4938	4965	4992	5019	5047
102	central	65	Chontales 	6530	San Pedro del Lóvago	<1963	466.5	San Pedro de Lóvago	12.11666667	-85.11666667	340	6981	4889	7125	7650	7780	7912	8046	8182	8321	8462	8606	8752	8900	9051	9205	9361	709	1107	2824	3415	3488	3562	3638	3715	3794	3875	3957	4041	4127	4215	4305	4397	6272	3782	4301	4235	4291	4348	4406	4465	4524	4584	4645	4707	4770	4834	4898	4964
103	central	65	Chontales 	6535	Acoyapa	<1963	1381.79	Acoyapa	11.96666667	-85.16666667	99	7676	6883	16882	16946	17190	17438	17689	17944	18203	18465	18731	19001	19275	19553	19835	20121	1755	2853	7575	8108	8249	8392	8538	8686	8837	8990	9146	9305	9466	9630	9797	9966	5921	4030	9307	8838	8941	9045	9150	9257	9365	9474	9584	9696	9809	9923	10039	10155
104	central	65	Chontales 	6540	Villa Sandino	<1963	676.51	Villa Sandino	12.03333333	-84.98333333	306	10735	10189	20543	13152	13292	13433	13576	13720	13866	14014	14163	14314	14466	14620	14776	14933	1126	1473	6230	6947	7038	7130	7223	7317	7413	7510	7608	7707	7808	7910	8013	8118	9609	8716	14313	6205	6254	6303	6352	6402	6452	6503	6554	6605	6657	6709	6762	6815
105	central	65	Chontales 	6545	El Coral	>1971	306	El Coral	11.91666667	-84.65	180	0	0	0	7039	7126	7214	7303	7393	7484	7576	7669	7763	7858	7955	8053	8151	0	0	0	3378	3441	3505	3571	3638	3706	3775	3846	3918	3991	4066	4142	4220	0	0	0	3661	3683	3705	3727	3749	3771	3793	3816	3839	3862	3885	3908	3931
106	Pacifico	70	Granada 	7005	Diriá	<1963	25.52	Diriá	11.88333333	-86.05	364	3193	3200	6075	6375	6437	6499	6562	6626	6690	6755	6820	6886	6953	7020	7088	7157	1733	1939	3246	3579	3636	3694	3753	3813	3874	3936	3999	4063	4128	4194	4261	4331	1460	1261	2829	2796	2798	2800	2802	2804	2806	2808	2810	2813	2816	2819	2822	2826
107	Pacifico	70	Granada 	7010	Diriomo	<1963	50.08	Diriomo	11.86666667	-86.05	344	8379	8910	20102	22352	23055	23780	24527	25298	26093	26913	27759	28631	29531	30459	31416	32404	3215	3621	7078	8711	9119	9546	9993	10461	10951	11464	12001	12563	13151	13767	14411	15083	5164	5289	13024	13641	13915	14195	14480	14771	15068	15371	15680	15995	16317	16645	16980	17321
108	Pacifico	70	Granada 	7015	Granada	<1963	592.07	Granada	11.91666667	-86.95	60	40104	44453	96996	105171	106972	108804	110667	112562	114489	116449	118443	120471	122534	124632	126766	128937	28507	35422	71783	79418	81045	82705	84399	86128	87892	89693	91530	93405	95318	97271	99264	101298	11597	9031	25213	25753	25905	26058	26212	26367	26523	26680	26838	26997	27156	27316	27477	27639
109	Pacifico	70	Granada 	7020	Nandaime	<1963	372.01	Nandaime	11.75	-86.05	140	13967	14539	32510	34288	34792	35303	35822	36348	36882	37424	37974	38532	39098	39672	40255	40845	5051	5677	14594	15866	16217	16576	16943	17318	17701	18093	18494	18904	19323	19751	20188	20635	8916	8862	17916	18422	18565	18709	18854	19000	19147	19295	19445	19596	19748	19901	20055	20210
109	Pacifico	75	Carazo 	7505	San Marcos	<1963	118.11	San Marcos	11.9	-86.2	552	9825	10046	25871	29019	29294	29572	29853	30136	30422	30711	31002	31296	31593	31893	32196	32502	3367	3491	16041	18852	19045	19240	19437	19636	19837	20040	20245	20453	20663	20875	21089	21306	6458	6555	9830	10167	10249	10332	10415	10499	10584	10669	10755	10842	10929	11017	11106	11196
109	Pacifico	75	Carazo 	7510	Jinotepe	<1963	280.52	Jinotepe	11.85	-86.2	569	15957	18112	37470	42109	42929	43765	44618	45487	46373	47277	48198	49137	50094	51070	52065	53081	9113	12461	25132	31257	31839	32432	33036	33651	34278	34917	35567	36230	36905	37592	38292	39006	6844	5651	12338	10852	11090	11333	11581	11835	12094	12359	12630	12907	13190	13479	13774	14075
109	Pacifico	75	Carazo 	7515	Dolores	<1963	2.62	Dolores	11.85	-86.21666667	583	1190	1648	5421	6761	6882	7005	7130	7257	7387	7519	7653	7790	7929	8071	8215	8360	899	1230	4938	6535	6626	6718	6811	6905	7001	7098	7196	7296	7397	7500	7604	7710	291	418	483	226	247	270	295	322	352	384	419	458	500	546	596	650
109	Pacifico	75	Carazo 	7520	Diriamba	<1963	348.88	Diriamba	11.85	-86.23333333	580	24182	25575	51191	57542	58054	58570	59091	59616	60146	60681	61221	61765	62314	62868	63427	63991	10499	10151	30558	35222	35766	36318	36879	37448	38026	38613	39209	39814	40429	41053	41687	42331	13683	15424	20633	22320	22264	22208	22153	22098	22043	21988	21933	21878	21823	21768	21714	21660
109	Pacifico	75	Carazo 	7525	El Rosario	<1963	14.08	El Rosario	11.83333333	-86.16666667	470	1348	1791	3923	5317	5472	5631	5795	5964	6137	6315	6499	6688	6882	7082	7288	7500	886	1027	2131	2638	2726	2817	2911	3008	3109	3213	3321	3432	3547	3666	3789	3917	462	764	1792	2679	2745	2812	2881	2952	3024	3098	3174	3252	3332	3414	3498	3583
109	Pacifico	75	Carazo 	7530	La Paz de Carazo	<1963	15.51	La Paz de Carazo	11.81666667	-86.11666667	396	1796	1765	4054	4657	4728	4800	4873	4947	5022	5098	5176	5255	5335	5416	5498	5582	828	922	1729	2375	2417	2460	2504	2549	2594	2640	2687	2735	2784	2834	2884	2935	968	843	2325	2282	2310	2339	2368	2397	2427	2457	2488	2519	2550	2582	2614	2647
109	Pacifico	75	Carazo 	7535	Santa Teresa	<1963	213.3	Santa Teresa	11.8	-86.15	400	8988	9337	17555	16891	17000	17109	17219	17330	17441	17553	17666	17779	17893	18008	18124	18240	2481	2800	4318	4821	4939	5060	5184	5311	5441	5574	5711	5851	5994	6141	6291	6446	6507	6537	13237	12070	12047	12024	12001	11978	11955	11932	11909	11886	11863	11840	11817	11794
109	Pacifico	75	Carazo 	7540	La Conquista	<1963	88.38	La Conquista	11.73333333	-86.18333333	180	2602	2860	3922	3777	3801	3825	3849	3873	3898	3923	3948	3973	3998	4023	4049	4075	364	537	773	822	833	845	857	869	881	893	905	918	931	944	957	970	2238	2323	3149	2955	2967	2979	2991	3003	3015	3027	3040	3053	3066	3079	3092	3105
109	Pacifico	80	Rivas 	8005	Tola	<1963	476.53	Tola	11.43333333	-85.93333333	40	8680	10046	19894	22012	22134	22257	22381	22505	22630	22756	22882	23009	23137	23265	23394	23524	751	987	1708	5815	5931	6050	6171	6295	6421	6550	6681	6815	6951	7090	7232	7376	7929	9059	18186	16197	16193	16189	16185	16181	16177	16173	16169	16165	16161	16157	16153	16148
109	Pacifico	80	Rivas 	8010	Belén	<1963	246.26	Belén	11.5	-85.88333333	80	7884	8621	15967	16428	16586	16745	16906	17068	17232	17397	17564	17732	17902	18074	18247	18422	2672	3029	3980	6458	6567	6678	6791	6906	7023	7141	7261	7384	7509	7636	7765	7894	5212	5592	11987	9970	10015	10061	10107	10153	10199	10245	10292	10339	10386	10433	10480	10528
109	Pacifico	80	Rivas 	8015	Potosí	<1963	143.59	Potosí	11.48333333	-85.85	63	4494	4989	10720	11904	12016	12129	12243	12358	12475	12593	12712	12832	12953	13075	13198	13323	762	1054	3348	4752	4830	4910	4991	5073	5157	5242	5328	5416	5505	5596	5688	5782	3732	3935	7372	7152	7184	7216	7248	7280	7312	7344	7376	7409	7442	7475	7508	7541
109	Pacifico	80	Rivas 	8020	Buenos Aires	<1963	75.22	Buenos Aires	11.46666667	-85.81666667	53	2646	3286	4835	5420	5448	5477	5506	5535	5564	5593	5622	5651	5681	5711	5741	5771	900	1292	1375	2236	2262	2289	2316	2343	2371	2399	2427	2456	2485	2514	2544	2574	1746	1994	3460	3184	3185	3186	3187	3188	3189	3190	3191	3192	3193	3194	3195	3197
109	Pacifico	80	Rivas 	8025	Moyogalpa	<1963	65.96	Moyogalpa	11.53333333	-85.68333333	60	4318	6152	8758	9729	9788	9847	9906	9966	10026	10086	10147	10208	10269	10331	10393	10455	1252	1558	3226	4795	4801	4807	4813	4819	4825	4831	4837	4843	4849	4855	4861	4863	3066	4594	5532	4934	4986	5038	5091	5144	5198	5253	5308	5364	5420	5477	5534	5592
109	Pacifico	80	Rivas 	8030	Altagracia	<1963	211.21	Altagracia	11.56666667	-85.56666667	70	8238	7351	17616	19955	20173	20393	20615	20840	21067	21297	21529	21764	22001	22241	22484	22729	1461	1521	1896	7041	7135	7230	7327	7425	7524	7624	7726	7829	7934	8040	8147	8256	6777	5830	15720	12914	13037	13161	13287	13414	13542	13671	13801	13933	14066	14200	14336	14473
109	Pacifico	80	Rivas 	8035	San Jorge	<1963	24.83	San Jorge	11.45	-85.8	50	3203	4128	7064	8024	8094	8164	8235	8306	8378	8451	8524	8598	8672	8747	8823	8899	1657	2895	5609	7126	7148	7170	7192	7214	7236	7258	7280	7302	7324	7346	7368	7391	1546	1233	1455	898	938	979	1022	1067	1114	1163	1214	1268	1324	1382	1443	1508
